date,portfolio_value,cash,positions,total_value
2020-06-18 10:30:00-04:00,97386.38147735596,21582.533462524414,11,97386.38147735596
2020-06-19 10:30:00-04:00,98954.67041778564,21582.533462524414,11,98954.67041778564
2020-06-22 10:30:00-04:00,97570.49942016602,21582.533462524414,11,97570.49942016602
2020-06-23 10:30:00-04:00,98824.25260162354,21582.533462524414,11,98824.25260162354
2020-06-24 10:30:00-04:00,98211.86367797852,21582.533462524414,11,98211.86367797852
2020-06-25 10:30:00-04:00,97341.49522399902,32811.153244018555,9,97341.49522399902
2020-06-26 10:30:00-04:00,98266.85159873962,21886.263528823856,11,98266.85159873962
2020-06-29 10:30:00-04:00,97035.09414768219,21886.263528823856,11,97035.09414768219
2020-06-30 10:30:00-04:00,97472.46898269653,27516.023729324344,10,97472.46898269653
2020-07-01 10:30:00-04:00,98735.16463470459,27516.023729324344,10,98735.16463470459
2020-07-02 10:30:00-04:00,100867.29173183441,27516.023729324344,10,100867.29173183441
2020-07-06 10:30:00-04:00,101414.04521846771,27516.023729324344,10,101414.04521846771
2020-07-07 10:30:00-04:00,101476.24690246582,27516.023729324344,10,101476.24690246582
2020-07-08 10:30:00-04:00,101746.28113937378,27516.023729324344,10,101746.28113937378
2020-07-09 10:30:00-04:00,102566.18327236176,27516.023729324344,10,102566.18327236176
2020-07-10 10:30:00-04:00,102721.94512939453,32148.693765640262,9,102721.94512939453
2020-07-13 10:30:00-04:00,103565.45987796783,27517.723703384403,10,103565.45987796783
2020-07-14 10:30:00-04:00,101184.15412139893,27517.723703384403,10,101184.15412139893
2020-07-15 10:30:00-04:00,102736.10208415985,27517.723703384403,10,102736.10208415985
2020-07-16 10:30:00-04:00,101723.65055370331,27517.723703384403,10,101723.65055370331
2020-07-17 10:30:00-04:00,102151.64369297028,27517.723703384403,10,102151.64369297028
2020-07-20 10:30:00-04:00,103054.51369285583,27517.723703384403,10,103054.51369285583
2020-07-21 10:30:00-04:00,105380.31811904907,27517.723703384403,10,105380.31811904907
2020-07-22 10:30:00-04:00,104137.96360778809,27517.723703384403,10,104137.96360778809
2020-07-23 10:30:00-04:00,104388.09868240356,27517.723703384403,10,104388.09868240356
2020-07-24 10:30:00-04:00,102838.38402462006,27517.723703384403,10,102838.38402462006
2020-07-27 10:30:00-04:00,103643.56476306915,27517.723703384403,10,103643.56476306915
2020-07-28 10:30:00-04:00,103977.1506986618,27517.723703384403,10,103977.1506986618
2020-07-29 10:30:00-04:00,103726.95432853699,27517.723703384403,10,103726.95432853699
2020-07-30 10:30:00-04:00,103734.57270336151,27517.723703384403,10,103734.57270336151
2020-07-31 10:30:00-04:00,105641.04325675964,27517.723703384403,10,105641.04325675964
2020-08-03 10:30:00-04:00,105484.23771572113,27517.723703384403,10,105484.23771572113
2020-08-04 10:30:00-04:00,105542.63300991058,27517.723703384403,10,105542.63300991058
2020-08-05 10:30:00-04:00,106688.28565216064,27517.723703384403,10,106688.28565216064
2020-08-06 10:30:00-04:00,106408.91607666016,32996.98377418518,9,106408.91607666016
2020-08-07 10:30:00-04:00,107182.96343421936,18462.943689346313,12,107182.96343421936
2020-08-10 10:30:00-04:00,107316.78761672974,18462.943689346313,12,107316.78761672974
2020-08-11 10:30:00-04:00,107135.86392784119,18462.943689346313,12,107135.86392784119
2020-08-12 10:30:00-04:00,106967.79357147217,18462.943689346313,12,106967.79357147217
2020-08-13 10:30:00-04:00,107340.1150302887,18462.943689346313,12,107340.1150302887
2020-08-14 10:30:00-04:00,107989.80323982239,18462.943689346313,12,107989.80323982239
2020-08-17 10:30:00-04:00,108055.11882019043,18462.943689346313,12,108055.11882019043
2020-08-18 10:30:00-04:00,108815.99472618103,18462.943689346313,12,108815.99472618103
2020-08-19 10:30:00-04:00,108966.1129989624,18462.943689346313,12,108966.1129989624
2020-08-20 10:30:00-04:00,108007.40364456177,18462.943689346313,12,108007.40364456177
2020-08-21 10:30:00-04:00,109199.77307319641,18462.943689346313,12,109199.77307319641
2020-08-24 10:30:00-04:00,109619.85737991333,18462.943689346313,12,109619.85737991333
2020-08-25 10:30:00-04:00,109586.46448516846,18462.943689346313,12,109586.46448516846
2020-08-26 10:30:00-04:00,109822.58674049377,18462.943689346313,12,109822.58674049377
2020-08-27 10:30:00-04:00,110791.8515548706,18462.943689346313,12,110791.8515548706
2020-08-28 10:30:00-04:00,110453.13255500793,18462.943689346313,12,110453.13255500793
2020-08-31 10:30:00-04:00,110538.81402778625,18462.943689346313,12,110538.81402778625
2020-09-01 10:30:00-04:00,110880.1348991394,18462.943689346313,12,110880.1348991394
2020-09-02 10:30:00-04:00,112883.79419708252,18462.943689346313,12,112883.79419708252
2020-09-03 10:30:00-04:00,112761.51341438293,24289.74353981018,11,112761.51341438293
2020-09-04 10:30:00-04:00,109379.72346687317,24289.74353981018,11,109379.72346687317
2020-09-08 10:30:00-04:00,105780.96322059631,24289.74353981018,11,105780.96322059631
2020-09-09 10:30:00-04:00,105961.75225639343,61736.01291847229,8,105961.75225639343
2020-09-10 10:30:00-04:00,106500.34276008606,52540.11304664612,9,106500.34276008606
2020-09-11 10:30:00-04:00,105869.27263832092,34267.49266052246,11,105869.27263832092
2020-09-14 10:30:00-04:00,106303.35212898254,38991.492599487305,10,106303.35212898254
2020-09-15 10:30:00-04:00,107066.44233703613,38991.492599487305,10,107066.44233703613
2020-09-16 10:30:00-04:00,107181.40343475342,38991.492599487305,10,107181.40343475342
2020-09-17 10:30:00-04:00,106109.2225074768,46583.50254249573,9,106109.2225074768
2020-09-18 10:30:00-04:00,107127.62230682373,25929.032411575317,12,107127.62230682373
2020-09-21 10:30:00-04:00,105432.54264068604,25929.032411575317,12,105432.54264068604
2020-09-22 10:30:00-04:00,105097.45199394226,32612.072328567505,11,105097.45199394226
2020-09-23 10:30:00-04:00,105037.14295196533,32612.072328567505,11,105037.14295196533
2020-09-24 10:30:00-04:00,102825.81254196167,37505.97251319885,10,102825.81254196167
2020-09-25 10:30:00-04:00,102924.14269256592,74614.0222492218,4,102924.14269256592
2020-09-28 10:30:00-04:00,103314.74237442017,81715.06218147278,3,103314.74237442017
2020-09-29 10:30:00-04:00,103313.26216125488,69579.58207893372,4,103313.26216125488
2020-09-30 10:30:00-04:00,103236.17311286926,59503.67191505433,5,103236.17311286926
2020-10-01 10:30:00-04:00,103517.85093688965,50565.55173683167,6,103517.85093688965
2020-10-02 10:30:00-04:00,102350.66216659546,35438.24131965637,8,102350.66216659546
2020-10-05 10:30:00-04:00,104530.8309249878,20066.141328811642,11,104530.8309249878
2020-10-06 10:30:00-04:00,105841.9015789032,20066.141328811642,11,105841.9015789032
2020-10-07 10:30:00-04:00,105234.8720626831,20066.141328811642,11,105234.8720626831
2020-10-08 10:30:00-04:00,106338.19165802002,20066.141328811642,11,106338.19165802002
2020-10-09 10:30:00-04:00,106969.91125679016,20066.141328811642,11,106969.91125679016
2020-10-12 10:30:00-04:00,107042.01181221008,20066.141328811642,11,107042.01181221008
2020-10-13 10:30:00-04:00,106908.77124404907,29563.881574630734,10,106908.77124404907
2020-10-14 10:30:00-04:00,106475.29087257385,29563.881574630734,10,106475.29087257385
2020-10-15 10:30:00-04:00,105744.84110832214,29563.881574630734,10,105744.84110832214
2020-10-16 10:30:00-04:00,107858.5415019989,29563.881574630734,10,107858.5415019989
2020-10-19 10:30:00-04:00,108059.50072479248,29563.881574630734,10,108059.50072479248
2020-10-20 10:30:00-04:00,108030.22206115723,29563.881574630734,10,108030.22206115723
2020-10-21 10:30:00-04:00,107833.06245040894,29563.881574630734,10,107833.06245040894
2020-10-22 10:30:00-04:00,107734.6227016449,29563.881574630734,10,107734.6227016449
2020-10-23 10:30:00-04:00,108632.10266685486,29563.881574630734,10,108632.10266685486
2020-10-26 10:30:00-04:00,108231.08185768127,29563.881574630734,10,108231.08185768127
2020-10-27 10:30:00-04:00,107864.61188697815,29563.881574630734,10,107864.61188697815
2020-10-28 10:30:00-04:00,105864.95036888123,29563.881574630734,10,105864.95036888123
2020-10-29 10:30:00-04:00,105987.0214138031,46973.34121131896,7,105987.0214138031
2020-10-30 10:30:00-04:00,105777.1217288971,46973.34121131896,7,105777.1217288971
2020-11-02 09:30:00-05:00,106284.41080093384,41278.74100875854,8,106284.41080093384
2020-11-03 09:30:00-05:00,107757.96144676208,41278.74100875854,8,107757.96144676208
2020-11-04 09:30:00-05:00,107854.67099189758,28416.041210174553,10,107854.67099189758
2020-11-05 09:30:00-05:00,108799.61056137085,28416.041210174553,10,108799.61056137085
2020-11-06 09:30:00-05:00,110192.12145996094,28416.041210174553,10,110192.12145996094
2020-11-09 09:30:00-05:00,113565.73258209229,28416.041210174553,10,113565.73258209229
