timestamp,symbol,market_code,market_name,currency,action,price,quantity,value,reason
2022-08-19 10:30:00-04:00,TD.TO,CA_TSX,TSX 60,CAD,buy,88.4000015258789,1.0,88.4000015258789,All conditions met. Trend gain: 25.70%
2022-08-22 10:30:00-04:00,AMCR,US_SP500,S&P 500,USD,sell,12.350000381469727,6.0,74.10000228881836,MA exit
2022-08-22 10:30:00-04:00,6098.T,JP_NIKKEI,Nikkei 225,JPY,sell,4789.0,1.0,4789.0,MA exit
2022-08-22 10:30:00-04:00,MO,US_SP500,S&P 500,USD,buy,45.470001220703125,1.0,45.470001220703125,All conditions met. Trend gain: 33.88%
2022-08-23 10:30:00-04:00,PME.AX,AU_ASX300,ASX 300,AUD,sell,50.20000076293945,1.0,50.20000076293945,MA exit
2022-08-23 10:30:00-04:00,STO.AX,AU_ASX300,ASX 300,AUD,buy,7.559999942779541,9.0,68.03999948501587,All conditions met. Trend gain: 30.80%
2022-08-29 10:30:00-04:00,4063.T,JP_NIKKEI,Nikkei 225,JPY,sell,3303.0,1.0,3303.0,MA exit
2022-08-29 10:30:00-04:00,REA.AX,AU_ASX300,ASX 300,AUD,sell,123.83000183105469,1.0,123.83000183105469,MA exit
2022-09-01 10:30:00-04:00,AFL,US_SP500,S&P 500,USD,sell,59.470001220703125,1.0,59.470001220703125,MA exit
2022-09-08 10:30:00-04:00,WDS.AX,AU_ASX300,ASX 300,AUD,sell,31.950000762939453,2.0,63.900001525878906,MA exit
2022-09-12 10:30:00-04:00,DBK.DE,DE_DAX,DAX 40,EUR,buy,9.215999603271484,2.0,18.43199920654297,All conditions met. Trend gain: 31.59%
2022-09-12 10:30:00-04:00,CAR.AX,AU_ASX300,ASX 300,AUD,buy,21.63735580444336,1.0,21.63735580444336,All conditions met. Trend gain: 30.00%
2022-09-13 10:30:00-04:00,CAR.AX,AU_ASX300,ASX 300,AUD,sell,21.042104721069336,1.0,21.042104721069336,MA exit
2022-09-14 10:30:00-04:00,MO,US_SP500,S&P 500,USD,sell,42.099998474121094,1.0,42.099998474121094,MA exit
2022-09-19 10:30:00-04:00,CNQ.TO,CA_TSX,TSX 60,CAD,sell,34.7400016784668,3.0,104.22000503540039,MA exit
2022-09-22 10:30:00-04:00,WTC.AX,AU_ASX300,ASX 300,AUD,sell,55.470001220703125,1.0,55.470001220703125,MA exit
2022-09-22 10:30:00-04:00,WES.AX,AU_ASX300,ASX 300,AUD,sell,44.209999084472656,1.0,44.209999084472656,MA exit
2022-09-22 10:30:00-04:00,AES,US_SP500,S&P 500,USD,sell,25.3700008392334,2.0,50.7400016784668,MA exit
2023-08-07 10:30:00-04:00,APP,US_SP500,S&P 500,USD,buy,31.360000610351562,1.0,31.360000610351562,All conditions met. Trend gain: 82.35%
2023-08-08 10:30:00-04:00,JHX.AX,AU_ASX300,ASX 300,AUD,buy,46.619998931884766,1.0,46.619998931884766,All conditions met. Trend gain: 32.49%
2023-08-09 10:30:00-04:00,9984.T,JP_NIKKEI,Nikkei 225,JPY,sell,6721.0,1.0,6721.0,MA exit
2023-08-11 10:30:00-04:00,LLC.AX,AU_ASX300,ASX 300,AUD,buy,8.479999542236328,2.0,16.959999084472656,All conditions met. Trend gain: 26.42%
2023-08-11 10:30:00-04:00,9988.HK,HK_HSI,Hang Seng Index,HKD,buy,95.30000305175781,1.0,95.30000305175781,All conditions met. Trend gain: 31.93%
2023-08-15 10:30:00-04:00,9988.HK,HK_HSI,Hang Seng Index,HKD,sell,90.0,1.0,90.0,MA exit
2023-08-16 10:30:00-04:00,LLC.AX,AU_ASX300,ASX 300,AUD,sell,7.920000076293945,2.0,15.84000015258789,MA exit
2023-08-23 10:30:00-04:00,STO.AX,AU_ASX300,ASX 300,AUD,sell,7.650000095367432,9.0,68.85000085830688,MA exit
2023-08-24 10:30:00-04:00,TD.TO,CA_TSX,TSX 60,CAD,sell,82.4000015258789,1.0,82.4000015258789,MA exit
2023-08-31 10:30:00-04:00,CAR.AX,AU_ASX300,ASX 300,AUD,buy,28.739999771118164,1.0,28.739999771118164,All conditions met. Trend gain: 25.56%
2023-08-31 10:30:00-04:00,7203.T,JP_NIKKEI,Nikkei 225,JPY,buy,2515.0,1.0,2515.0,All conditions met. Trend gain: 26.34%
2023-09-05 10:30:00-04:00,8306.T,JP_NIKKEI,Nikkei 225,JPY,buy,1217.5,4.0,4870.0,All conditions met. Trend gain: 29.19%
2023-09-05 10:30:00-04:00,CNQ.TO,CA_TSX,TSX 60,CAD,buy,44.165000915527344,1.0,44.165000915527344,All conditions met. Trend gain: 27.15%
2023-09-05 10:30:00-04:00,BKR,US_SP500,S&P 500,USD,buy,36.810001373291016,1.0,36.810001373291016,All conditions met. Trend gain: 27.46%
2023-09-06 10:30:00-04:00,DBK.DE,DE_DAX,DAX 40,EUR,sell,9.53499984741211,2.0,19.06999969482422,MA exit
2023-09-13 10:30:00-04:00,CVE.TO,CA_TSX,TSX 60,CAD,buy,27.950000762939453,2.0,55.900001525878906,All conditions met. Trend gain: 34.44%
2023-09-15 10:30:00-04:00,1398.HK,HK_HSI,Hang Seng Index,HKD,buy,3.799999952316284,139.0,528.1999933719635,All conditions met. Trend gain: 27.46%
2023-09-18 10:30:00-04:00,JHX.AX,AU_ASX300,ASX 300,AUD,sell,42.75,1.0,42.75,MA exit
2023-09-20 10:30:00-04:00,APP,US_SP500,S&P 500,USD,sell,39.66999816894531,1.0,39.66999816894531,MA exit
2023-09-21 10:30:00-04:00,4452.T,JP_NIKKEI,Nikkei 225,JPY,sell,5424.0,3.0,16272.0,MA exit
2023-09-22 10:30:00-04:00,BKR,US_SP500,S&P 500,USD,sell,35.15999984741211,1.0,35.15999984741211,MA exit
2023-09-25 10:30:00-04:00,CNQ.TO,CA_TSX,TSX 60,CAD,sell,41.44499969482422,1.0,41.44499969482422,MA exit
2023-09-28 10:30:00-04:00,CAR.AX,AU_ASX300,ASX 300,AUD,sell,27.8799991607666,1.0,27.8799991607666,MA exit
2023-10-05 10:30:00-04:00,7203.T,JP_NIKKEI,Nikkei 225,JPY,sell,2564.5,1.0,2564.5,MA exit
2023-10-05 10:30:00-04:00,8306.T,JP_NIKKEI,Nikkei 225,JPY,sell,1240.0,4.0,4960.0,MA exit
2023-10-05 10:30:00-04:00,CVE.TO,CA_TSX,TSX 60,CAD,sell,26.06999969482422,2.0,52.13999938964844,MA exit
2023-12-05 09:30:00-05:00,1398.HK,HK_HSI,Hang Seng Index,HKD,sell,3.640000104904175,139.0,505.9600145816803,MA exit
