symbol,source,price,avg_volume,ddv,spread_pct,turnover_pct,float_shares,market_cap,liquidity_score,liquidity_tier,max_position_rec,position_200k_pct_adv,position_400k_pct_adv,position_800k_pct_adv,days_to_liquidate_400k,ddv_score,spread_score,turnover_score,float_score,market_cap_score,exchange,currency
ENOV,IJR,26.64,817170.0,21769408.8,0.11282437006393808,1.4288841489646478,56435053,1523524992,74.57915837172732,TIER 3 - ADEQUATE,$300K-$400K,0.9187204018144948,1.8374408036289895,3.674881607257979,0.018374408036289896,52.211761,88.29008399147492,68.57768297929296,82.5740212,81.30881248,NYQ,USD
OC,IJH,111.91,1573470.0,176087027.7,6.779661016949152,1.9143894741051775,81534205,9358760960,74.42136238842072,TIER 2 - GOOD,$600K-$800K,0.11358020100193901,0.22716040200387802,0.45432080400775604,0.00227160402003878,100.0,0.0,78.28778948210355,92.613682,98.71752192,NYQ,USD
RMBS,IJH,91.89,1721880.0,158223553.2,39.95363214837712,1.5995149769113617,106947178,9891971072,74.37645412204544,TIER 2 - GOOD,$600K-$800K,0.12640343106641852,0.25280686213283704,0.5056137242656741,0.0025280686213283703,100.0,0.0,71.99029953822723,100.0,99.783942144,NMS,USD
FIVE,IJH,188.36,1260615.0,237449441.4,14.1425215348473,2.285499677874565,53786431,10389388288,74.36918457149827,TIER 2 - GOOD,$600K-$800K,0.08422845672779923,0.16845691345559846,0.3369138269111969,0.0016845691345559845,100.0,0.0,85.7099935574913,81.5145724,100.0,NMS,USD
BJ,IJH,90.03,2080540.0,187311016.2,1.342577308242543,1.5900468724272334,129938323,11861755904,74.36018748970893,TIER 2 - GOOD,$600K-$800K,0.10677428592157731,0.21354857184315462,0.42709714368630924,0.0021354857184315464,100.0,0.0,71.80093744854467,100.0,100.0,NYQ,USD
VLY,IJH,11.68,9787530.0,114318350.39999999,12.24944320712695,1.755183983443179,549823084,6537541632,74.32824426017271,TIER 2 - GOOD,$600K-$800K,0.17495004021681546,0.3499000804336309,0.6998001608672618,0.0034990008043363093,100.0,0.0,75.10367966886358,100.0,93.075083264,NMS,USD
DOCS,IJH,44.28,2201438.3333333335,97479689.4,0.9412819363514,1.602516203143493,134211057,8336651264,74.29703040602662,TIER 2 - GOOD,$600K-$800K,0.2051709450768931,0.4103418901537862,0.8206837803075724,0.004103418901537862,98.94987058333334,2.3487225459439998,72.05032406286986,100.0,96.673302528,NYQ,USD
DD,IVV,40.2,6584065.433333334,264679430.42000002,1.2009803921568503,1.5714685462796691,417270094,16842808320,74.28587418511867,TIER 2 - GOOD,$600K-$800K,0.07556310654085772,0.15112621308171545,0.3022524261634309,0.0015112621308171544,100.0,0.0,71.42937092559339,100.0,100.0,NYQ,USD
HOLX,IVV,74.49,3503753.3333333335,260994585.79999998,9.63733198072533,1.5707280415312757,220669489,16616154112,74.2829121661251,TIER 2 - GOOD,$600K-$800K,0.07662994210663815,0.1532598842132763,0.3065197684265526,0.0015325988421327629,100.0,0.0,71.41456083062552,100.0,100.0,NMS,USD
AR,IJH,34.46,4836435.0,166663550.1,1.8604651162790715,1.5677565852172166,291406517,10645762048,74.27102634086887,TIER 2 - GOOD,$600K-$800K,0.1200022439699609,0.2400044879399218,0.4800089758798436,0.002400044879399218,100.0,0.0,71.35513170434433,100.0,100.0,NYQ,USD
FOXA,IVV,73.07,3253723.3333333335,237749563.96666667,14.83466213566855,1.5615746059838818,353529346,32438894592,74.24629842393553,TIER 2 - GOOD,$600K-$800K,0.0841221311463859,0.1682442622927718,0.3364885245855436,0.0016824426229277182,100.0,0.0,71.23149211967764,100.0,100.0,NMS,USD
SHAK,IJR,81.17,1477910.0,119961954.7,1.5993163227933125,3.671498707854348,38446203,3465421312,74.229899688,TIER 2 - GOOD,$600K-$800K,0.1667195241192581,0.3334390482385162,0.6668780964770324,0.003334390482385162,100.0,0.0,100.0,70.7569624,86.16355328,NYQ,USD
BTSG,IJR,37.45,3086708.3333333335,115597227.08333334,43.42857142857143,1.7114882286934963,142329947,6754193920,74.19679169877399,TIER 2 - GOOD,$600K-$800K,0.17301453075152157,0.34602906150304313,0.6920581230060863,0.0034602906150304315,100.0,0.0,74.22976457386993,100.0,93.50838784,NMS,USD
