Trade ID,Ticker,Direction,Status,Entry Date,Entry Price,Exit Date,Exit Price,Duration (Days),Position Size,Fees,Profit/Loss (PNL),Return (%)
484,AWK,Long,Closed,2018-08-15 04:00:00,77.9670,2018-09-07 04:00:00,77.8963,23,27.1703,4.2349,-6.1540,-0.2905
485,AWK,Long,Closed,2019-02-20 05:00:00,87.9744,2019-04-02 04:00:00,92.4774,40,1.9908,0.3592,8.6055,4.9135
486,AWK,Long,Closed,2019-04-18 04:00:00,93.3602,2019-06-26 04:00:00,103.3071,69,19.0497,3.7464,185.7377,10.4436
487,AWK,Long,Closed,2019-07-09 04:00:00,105.9769,2019-07-17 04:00:00,104.0059,8,13.1236,2.7557,-28.6223,-2.0580
488,AWK,Long,Closed,2019-09-04 04:00:00,115.8371,2019-09-16 04:00:00,108.8464,12,10.5796,2.3771,-76.3359,-6.2289
489,AWK,Long,Closed,2019-09-24 04:00:00,112.3462,2019-10-14 04:00:00,109.5211,20,11.1914,2.4830,-34.0996,-2.7121
490,AWK,Long,Closed,2020-01-21 05:00:00,120.3682,2020-03-12 04:00:00,106.9854,50,6.9008,1.5689,-93.9213,-11.3071
491,AWK,Long,Closed,2020-03-17 04:00:00,125.6037,2020-03-19 04:00:00,104.4007,2,68.0576,15.6536,-1458.6778,-17.0640
492,AWK,Long,Closed,2020-04-27 04:00:00,114.0409,2020-05-01 04:00:00,108.1008,4,2.6498,0.5886,-16.3288,-5.4035
493,AWK,Long,Closed,2020-05-29 04:00:00,115.7138,2020-06-23 04:00:00,114.0919,25,0.0455,0.0105,-0.0843,-1.6002
494,AWK,Long,Closed,2020-06-30 04:00:00,117.2262,2020-08-19 04:00:00,131.6156,50,41.8954,10.4253,592.4210,12.0626
495,AWK,Long,Closed,2020-09-14 04:00:00,130.6645,2020-09-22 04:00:00,128.1862,8,13.7393,3.5564,-37.6067,-2.0948
496,AWK,Long,Closed,2020-09-25 04:00:00,131.8991,2020-10-29 04:00:00,139.1511,34,55.4603,15.0325,387.1681,5.2927
497,AWK,Long,Closed,2020-11-03 05:00:00,143.6687,2020-11-23 05:00:00,142.4356,20,4.6747,1.3374,-7.1018,-1.0574
498,AWK,Long,Closed,2020-12-15 05:00:00,140.3893,2020-12-16 05:00:00,137.9851,1,13.0113,3.6220,-34.9038,-1.9108
499,AWK,Long,Closed,2021-01-12 05:00:00,143.3625,2021-02-17 05:00:00,148.0341,36,3.6340,1.0589,15.9179,3.0554
500,AWK,Long,Closed,2021-04-15 04:00:00,146.5426,2021-04-28 04:00:00,142.1047,13,2.6765,0.7726,-12.6506,-3.2254
501,AWK,Long,Closed,2021-05-21 04:00:00,143.3888,2021-06-23 04:00:00,144.5442,33,8.5168,2.4523,7.3884,0.6050
502,AWK,Long,Closed,2021-07-30 04:00:00,157.2452,2021-09-20 04:00:00,166.2589,52,3.0211,0.9773,26.2536,5.5265
503,AWK,Long,Closed,2022-03-18 04:00:00,148.3191,2022-04-18 04:00:00,151.7953,31,8.7558,2.6277,27.8096,2.1414
504,AWK,Long,Closed,2022-04-20 04:00:00,156.5798,2022-04-26 04:00:00,147.8892,6,6.3411,1.9307,-57.0383,-5.7447
505,AWK,Long,Closed,2022-07-28 04:00:00,145.9610,2022-08-22 04:00:00,146.2668,25,0.5363,0.1567,0.0073,0.0093
506,AWK,Long,Closed,2022-09-09 04:00:00,146.0029,2022-09-19 04:00:00,140.0177,10,2.1990,0.6290,-13.7904,-4.2953
507,AWK,Long,Closed,2022-11-11 05:00:00,138.2086,2022-12-19 05:00:00,143.4551,38,0.0166,0.0047,0.0823,3.5923
508,AWK,Long,Closed,2023-01-05 05:00:00,146.4762,2023-01-19 05:00:00,142.2335,14,7.1724,2.0707,-32.5008,-3.0936
509,AWK,Long,Closed,2023-01-26 05:00:00,147.9251,2023-02-07 05:00:00,147.8521,12,4.7730,1.4117,-1.7601,-0.2493
510,AWK,Long,Closed,2023-04-21 04:00:00,143.5346,2023-04-28 04:00:00,140.9859,7,5.2243,1.4864,-14.8015,-1.9739
511,AWK,Long,Closed,2023-05-10 04:00:00,143.0854,2023-05-15 04:00:00,141.0023,5,7.6147,2.1632,-18.0256,-1.6544
512,AWK,Long,Closed,2023-06-02 04:00:00,139.3109,2023-06-06 04:00:00,138.3554,4,6.9303,1.9243,-8.5466,-0.8852
513,AWK,Long,Closed,2023-11-20 05:00:00,126.2123,2023-12-11 05:00:00,126.2509,21,4.2524,1.0736,-0.9092,-0.1694
514,AWK,Long,Closed,2023-12-13 05:00:00,130.4718,2023-12-18 05:00:00,126.4054,5,2.3389,0.6008,-10.1118,-3.3136
515,AMP,Long,Closed,2018-06-11 04:00:00,128.5785,2018-06-26 04:00:00,123.5822,15,3.8205,0.9634,-20.0519,-4.0819
516,AMP,Long,Closed,2018-07-18 04:00:00,126.6166,2018-07-19 04:00:00,123.1811,1,11.1457,2.7842,-41.0754,-2.9106
517,AMP,Long,Closed,2018-07-23 04:00:00,124.7070,2018-08-01 04:00:00,124.5849,9,6.7045,1.6714,-2.4901,-0.2978
518,AMP,Long,Closed,2019-01-28 05:00:00,107.6275,2019-03-06 05:00:00,113.7806,37,1.1934,0.2642,7.0788,5.5113
519,AMP,Long,Closed,2019-03-20 04:00:00,114.9107,2019-03-25 04:00:00,110.1677,5,13.2878,2.9908,-66.0154,-4.3235
520,AMP,Long,Closed,2019-04-02 04:00:00,121.1311,2019-05-08 04:00:00,128.1234,36,5.1140,1.2747,34.4845,5.5668
521,AMP,Long,Closed,2019-05-10 04:00:00,129.4940,2019-05-15 04:00:00,127.4248,5,32.5135,8.3533,-75.6314,-1.7963
522,AMP,Long,Closed,2019-05-20 04:00:00,130.6765,2019-05-23 04:00:00,129.3148,3,21.8416,5.6786,-35.4189,-1.2409
523,AMP,Long,Closed,2019-06-04 04:00:00,131.6081,2019-06-26 04:00:00,130.8914,22,20.0313,5.2582,-19.6138,-0.7440
524,AMP,Long,Closed,2019-09-18 04:00:00,133.0818,2019-10-02 04:00:00,122.0774,14,9.8085,2.5027,-110.4400,-8.4607
525,AMP,Long,Closed,2019-10-22 04:00:00,128.4907,2020-01-24 05:00:00,152.1269,94,2.7580,0.7739,64.4145,18.1769
526,AMP,Long,Closed,2020-02-18 05:00:00,161.8298,2020-02-24 05:00:00,150.1278,6,2.9379,0.9165,-35.2954,-7.4238
