symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,conviction_level,holding_days,exit_month,exit_year
RRL.AX,2020-06-01,2020-06-04,4.849136899709701,4.458975344759059,51555,-20114.778965480342,-8.045999999999987,STOP_LOSS,3,3,2020-06,2020
RRL.AX,2020-06-12,2020-10-26,4.529997669696807,4.165514057193002,66225,-24137.92723806448,-8.045999999999998,STOP_LOSS,4,136,2020-10,2020
RRL.AX,2022-03-09,2022-03-15,2.1136623516082764,1.9435970787978747,94622,-16091.916243865833,-8.045999999999987,STOP_LOSS,2,6,2022-03,2022
RRL.AX,2022-11-28,2023-02-23,1.9067674357295035,1.7533489278507077,104889,-16091.913872899006,-8.045999999999998,STOP_LOSS,2,87,2023-02,2023
RRL.AX,2023-03-30,2023-06-29,1.940816915988922,1.7846587869284534,103049,-16091.939041552225,-8.045999999999998,STOP_LOSS,2,91,2023-06,2023
RRL.AX,2023-12-19,2024-02-06,2.0429649989604948,1.8785880351441335,97896,-16091.8472497665,-8.045999999999987,STOP_LOSS,2,49,2024-02,2024
RRL.AX,2024-04-02,2024-05-30,1.96027372777462,1.8025501036378742,102026,-16091.910476175637,-8.045999999999998,STOP_LOSS,2,58,2024-05,2024
RRL.AX,2024-10-16,2025-03-18,2.4904716700315475,3.4849170078751444,80306,79859.92730086789,39.93,PROFIT_TARGET,2,153,2025-03,2025
RRL.AX,2025-03-19,2025-05-30,3.482769071102142,4.873438761193228,57425,79859.20695348059,39.93,PROFIT_TARGET,2,72,2025-05,2025
RRL.AX,2025-06-02,2025-06-11,5.058770587205887,4.651741905759302,39535,-16091.878920990734,-8.045999999999987,STOP_LOSS,2,9,2025-06,2025
RRL.AX,2025-06-12,2025-06-26,4.786375699281693,4.401263910517488,52231,-20114.773838943158,-8.045999999999987,STOP_LOSS,3,14,2025-06,2025
RRL.AX,2025-06-27,2025-08-01,4.270769590616226,3.9271434693552445,46829,-16091.66763253049,-8.045999999999998,STOP_LOSS,2,35,2025-08,2025
RRL.AX,2025-08-04,2025-09-12,4.017831275939941,5.62215130442276,62222,99824.00081225792,39.93,PROFIT_TARGET,3,39,2025-09,2025
RRL.AX,2025-09-15,2026-01-19,5.462126537561416,7.64315366400969,36615,79858.30823490354,39.93,PROFIT_TARGET,2,126,2026-01,2026
RRL.AX,2026-01-20,2026-03-16,7.790407062292099,7.163590910060077,38508,-24137.436390150684,-8.045999999999987,STOP_LOSS,4,55,2026-03,2026
