date,equity,cash,positions_value,open_positions
2022-07-06,3130835.5338132516,3130835.5338132516,0.0,0
2022-07-07,3130835.5338132516,3130835.5338132516,0.0,0
2022-07-08,3130835.5338132516,3130835.5338132516,0.0,0
2022-07-11,3130835.5338132516,3130835.5338132516,0.0,0
2022-07-12,3130835.5338132516,3130835.5338132516,0.0,0
2022-07-13,3130835.5338132516,3130835.5338132516,0.0,0
2022-07-14,3130835.5338132516,3130835.5338132516,0.0,0
2022-07-15,3130835.5338132516,3130835.5338132516,0.0,0
2022-07-18,3130835.5338132516,3130835.5338132516,0.0,0
2022-07-19,3130835.5338132516,3130835.5338132516,0.0,0
2022-07-20,3130835.5338132516,3130835.5338132516,0.0,0
2022-07-21,3130835.5338132516,3130835.5338132516,0.0,0
2022-07-22,3130835.5338132516,3130835.5338132516,0.0,0
2022-07-25,3130669.5338132516,2964669.5338132516,166000.0,1
2022-07-26,3130669.5338132516,2964669.5338132516,166000.0,1
2022-07-27,3130669.5338132516,2964669.5338132516,166000.0,1
2022-07-28,3130669.5338132516,2964669.5338132516,166000.0,1
2022-07-29,3130669.5338132516,2964669.5338132516,166000.0,1
2022-08-01,3130669.5338132516,2964669.5338132516,166000.0,1
2022-08-02,3130503.5338132516,2798503.5338132516,332000.0,2
2022-08-03,3122001.0386532517,2956001.0386532517,166000.0,1
2022-08-04,3113552.2896932517,3113552.2896932517,0.0,0
2022-08-05,3113552.2896932517,3113552.2896932517,0.0,0
2022-08-08,3113552.2896932517,3113552.2896932517,0.0,0
2022-08-09,3113552.2896932517,3113552.2896932517,0.0,0
2022-08-10,3113386.2896932517,2947386.2896932517,166000.0,1
2022-08-11,3113220.2896932517,2781220.2896932517,332000.0,2
2022-08-12,3113220.2896932517,2781220.2896932517,332000.0,2
2022-08-15,3113220.2896932517,2781220.2896932517,332000.0,2
2022-08-16,3113220.2896932517,2781220.2896932517,332000.0,2
2022-08-17,3113220.2896932517,2781220.2896932517,332000.0,2
2022-08-18,3113220.2896932517,2781220.2896932517,332000.0,2
2022-08-19,3113220.2896932517,2781220.2896932517,332000.0,2
2022-08-22,3133712.93476787,2967712.93476787,166000.0,1
2022-08-23,3133712.93476787,2967712.93476787,166000.0,1
2022-08-24,3133712.93476787,2967712.93476787,166000.0,1
2022-08-25,3159488.8750023935,2993488.8750023935,166000.0,1
2022-08-26,3159488.8750023935,2993488.8750023935,166000.0,1
2022-08-29,3159488.8750023935,2993488.8750023935,166000.0,1
2022-08-30,3150985.2409823937,3150985.2409823937,0.0,0
2022-08-31,3150985.2409823937,3150985.2409823937,0.0,0
2022-09-01,3150985.2409823937,3150985.2409823937,0.0,0
2022-09-02,3150985.2409823937,3150985.2409823937,0.0,0
2022-09-05,3150985.2409823937,3150985.2409823937,0.0,0
2022-09-06,3150985.2409823937,3150985.2409823937,0.0,0
2022-09-07,3150985.2409823937,3150985.2409823937,0.0,0
2022-09-08,3150985.2409823937,3150985.2409823937,0.0,0
2022-09-09,3150985.2409823937,3150985.2409823937,0.0,0
2022-09-12,3150985.2409823937,3150985.2409823937,0.0,0
2022-09-13,3150985.2409823937,3150985.2409823937,0.0,0
2022-09-14,3150985.2409823937,3150985.2409823937,0.0,0
2022-09-15,3150985.2409823937,3150985.2409823937,0.0,0
2022-09-16,3150985.2409823937,3150985.2409823937,0.0,0
2022-09-19,3150985.2409823937,3150985.2409823937,0.0,0
