symbol,entry_date,entry_price,shares,position_value,conviction_level,stop_price,stop_percent,target_1_price,target_2_price,target_3_price,position_risk_pct,dollar_risk,exit_date,exit_price,exit_reason,pnl_dollars,pnl_percent,r_multiple,holding_days
DVA,2023-08-04,108.86440255737304,2755,300000.0,5,105.27,3.3,113.66,118.45,123.24,0.495,9902.58,2023-08-15,105.27,STOP_LOSS,-10571.168850000016,-3.520202747252753,-1.067516734919361,11
EXTR,2023-08-09,31.315649236679075,9579,300000.0,5,29.75,5.0,33.57,35.82,38.08,0.75,14997.35,2023-08-16,29.75,STOP_LOSS,-15609.725250000018,-5.198043706293713,-1.040831950108897,7
PHM,2023-07-25,81.91026602554321,3662,300000.0,5,78.65,3.98,86.25,90.59,94.94,0.597,11939.09,2023-08-17,78.65,STOP_LOSS,-12571.716299999971,-4.186385714285704,-1.0529874465038565,23
BLDR,2023-08-04,149.71481938934326,2003,300000.0,5,142.26,4.98,159.65,169.59,179.52,0.747,14932.0,2023-08-17,142.26,STOP_LOSS,-15638.166780000029,-5.207514745254755,-1.0472919495089936,13
BRO,2023-07-21,69.9511339302063,4288,300000.0,5,68.38,2.24,72.04,74.13,76.22,0.337,6737.02,2023-08-29,72.47169585418702,PROFIT_TARGET_1,10147.873190931161,3.3792451518252284,1.5062846388218065,39
AVGO,2023-08-31,89.39193315124511,3356,300000.0,5,85.42,4.45,94.69,99.99,105.29,0.666,13329.81,2023-09-01,85.42,STOP_LOSS,-13917.149519999977,-4.634415424575417,-1.0440622910395545,1
LLY,2023-08-14,528.9574007263184,567,300000.0,5,507.71,4.02,557.29,585.63,613.96,0.602,12047.28,2023-09-07,563.0321248474121,PROFIT_TARGET_1,18619.97557369416,6.200458066498221,1.545575551378289,24
JBL,2023-08-29,114.84749514770508,2612,300000.0,5,110.69,3.62,120.39,125.93,131.47,0.543,10859.38,2023-09-07,110.69,STOP_LOSS,-11466.84228000004,-3.818462297702311,-1.0559392068227365,9
NVDA,2023-08-29,48.770260700225826,6151,300000.0,5,46.33,5.0,53.35,57.94,62.52,0.751,15010.04,2023-09-07,46.33,STOP_LOSS,-15609.145829999994,-5.197850759240757,-1.039913425982621,9
ORCL,2023-09-08,122.85117455291747,2441,300000.0,5,118.11,3.86,129.17,135.49,141.81,0.579,11573.21,2023-09-12,118.11,STOP_LOSS,-12281.796510000015,-4.089842327672333,-1.0612267128035933,4
APO,2023-08-31,84.13990354156493,3565,300000.0,5,81.73,2.87,87.36,90.58,93.8,0.43,8591.31,2023-09-14,87.74177458572389,PROFIT_TARGET_1,12186.626971707563,4.058150839729458,1.4184836151143954,14
ADBE,2023-08-31,559.6196968688964,536,300000.0,5,538.78,3.72,587.41,615.2,642.99,0.559,11170.08,2023-09-15,538.78,STOP_LOSS,-11802.706080000033,-3.930305054945066,-1.056636004274896,15
CVNA,2023-09-14,55.88793061065674,5367,300000.0,5,53.09,5.0,63.65,71.41,79.17,0.751,15016.49,2023-09-15,53.09,STOP_LOSS,-15650.904029999976,-5.211756253746246,-1.0422475752353948,1
LLY,2023-09-08,576.6030378112793,520,300000.0,5,562.42,2.46,595.51,614.42,633.32,0.369,7375.18,2023-09-18,562.42,STOP_LOSS,-8134.058400000038,-2.7086441558441683,-1.102896305300701,10
AMZN,2023-09-11,143.17155610656738,2095,300000.0,5,138.55,3.23,149.33,155.49,161.65,0.484,9682.16,2023-09-19,138.55,STOP_LOSS,-10328.012250000029,-3.4392315184815283,-1.0667053843208343,8
APP,2023-09-18,44.03200332069397,6813,300000.0,5,41.85,4.95,46.94,49.85,52.76,0.743,14865.99,2023-09-19,41.85,STOP_LOSS,-15461.074049999996,-5.148542807192806,-1.0400299933739874,1
TDW,2023-09-27,73.02649286270142,4108,300000.0,5,69.38,5.0,78.58,84.13,89.69,0.749,14979.79,2023-10-02,69.38,STOP_LOSS,-15571.973040000012,-5.185472207792212,-1.0395319463141905,5
DELL,2023-09-04,65.32847768783569,4592,300000.0,5,62.1,4.94,69.63,73.93,78.23,0.741,14825.17,2023-10-03,64.35395347213745,TRAILING_STOP,-5082.159010288888,-1.6923606427868425,-0.34280613086450124,29
APO,2023-09-15,88.41722576522827,3393,300000.0,5,85.85,2.9,91.84,95.26,98.69,0.436,8710.6,2023-10-03,85.85,STOP_LOSS,-9302.239050000033,-3.0976487012987124,-1.0679220984653113,18
JBL,2023-09-28,124.3517718887329,2412,300000.0,5,119.27,4.09,131.13,137.91,144.69,0.613,12257.23,2023-10-09,133.2251326751709,PROFIT_TARGET_1,20717.680992499692,6.898994669497068,1.6902411537500894,11
MCK,2023-09-20,435.22488894653316,689,300000.0,5,424.31,2.51,449.78,464.33,478.88,0.376,7520.36,2023-10-11,451.39622877502444,PROFIT_TARGET_1,10400.989624365815,3.463533008446825,1.3830443916033233,21
AEO,2023-11-14,17.419487251281737,17222,300000.0,5,16.65,4.41,18.44,19.47,20.49,0.663,13252.11,2023-11-20,18.438358453750613,PROFIT_TARGET_1,16927.86388120259,5.636984309424772,1.2773712710292773,6
WSM,2023-11-16,82.85774575424193,3620,300000.0,5,79.44,4.13,87.42,91.97,96.53,0.619,12372.24,2023-11-20,87.84425475311279,PROFIT_TARGET_1,17378.206004062027,5.786948386301042,1.404612788247641,4
DELL,2023-11-06,69.33908794784546,4326,300000.0,5,66.84,3.61,72.67,76.01,79.34,0.541,10811.05,2023-11-30,73.02347518539429,PROFIT_TARGET_1,15283.654098363651,5.089461904217,1.413706142314617,24
VST,2023-11-06,34.60763101387024,8668,300000.0,5,33.48,3.24,36.1,37.6,39.1,0.489,9774.31,2023-12-04,36.324689744949346,PROFIT_TARGET_1,14247.548298511712,4.744438327842728,1.457653243148664,28
CNR,2023-12-01,111.8947484550476,2681,300000.0,5,106.3,5.0,119.38,126.86,134.35,0.75,14999.52,2023-12-06,106.3,STOP_LOSS,-15594.690300000017,-5.193037062937068,-1.0396792475954622,5
SLG,2023-12-04,37.98004010009765,7898,300000.0,5,36.08,5.0,42.1,46.22,50.34,0.75,15006.52,2023-12-14,43.136418132781984,PROFIT_TARGET_1,40050.7389822994,13.33690941801512,2.668889773339993,10
HCC,2023-11-17,52.72818273353576,5689,300000.0,5,50.09,5.0,57.63,62.53,67.43,0.75,15008.62,2023-12-19,59.441055467605594,PROFIT_TARGET_1,37522.00439065305,12.494839956927423,2.5000300136117506,32
PSX,2023-11-30,119.36676720428466,2513,300000.0,5,115.29,3.42,124.81,130.25,135.68,0.512,10244.92,2023-12-26,125.56647307586671,PROFIT_TARGET_1,14932.998292813369,4.972693404200256,1.4576008544725567,26
WSM,2023-12-14,99.7772578010559,3006,300000.0,5,96.08,3.71,104.71,109.65,114.58,0.556,11113.96,2024-01-03,96.08,STOP_LOSS,-11772.336479999998,-3.920191968031968,-1.0592389850878006,20
LPG,2024-01-04,37.270247056961054,8049,300000.0,5,35.41,5.0,40.4,43.53,46.66,0.749,14973.13,2024-01-10,35.41,STOP_LOSS,-15569.925090000033,-5.18479023976025,-1.039857837730441,6
COF,2024-01-05,128.20429838562012,2340,300000.0,5,124.57,2.84,133.05,137.9,142.75,0.425,8504.26,2024-01-11,124.57,STOP_LOSS,-9097.693800000008,-3.0295350649350676,-1.069780992313854,6
SYF,2024-01-05,37.173751842498774,8070,300000.0,5,36.07,2.98,38.65,40.13,41.61,0.445,8907.28,2024-01-12,36.07,STOP_LOSS,-9506.184899999993,-3.1655627372627353,-1.067238001717743,7
JXN,2023-12-13,46.83117366027832,6405,300000.0,5,45.14,3.62,49.09,51.35,53.61,0.542,10831.97,2024-01-16,45.22272339630127,TRAILING_STOP,-10938.108190043713,-3.642393669678226,-1.009798856761604,34
HCC,2024-01-04,64.42052271652221,4656,300000.0,5,61.29,4.86,68.59,72.77,76.94,0.729,14575.71,2024-01-16,61.29,STOP_LOSS,-15219.126240000012,-5.06797410589411,-1.0441427762720974,12
ALL,2024-01-04,142.01008699035643,2112,300000.0,5,138.25,2.65,147.02,152.03,157.04,0.397,7941.3,2024-01-19,147.96325858306886,PROFIT_TARGET_1,11885.903725314012,3.9580098985394647,1.4967194479594552,15
AMD,2024-01-17,160.2500831680298,1872,300000.0,5,152.24,5.0,172.01,183.77,195.53,0.75,14994.88,2024-01-19,174.1428807296753,PROFIT_TARGET_1,25369.477253226214,8.448044373368703,1.6918764634515437,2
BLDR,2024-01-22,178.10901427459717,1684,300000.0,5,170.44,4.3,188.33,198.55,208.78,0.646,12914.62,2024-01-23,170.44,STOP_LOSS,-13566.060959999973,-4.517502817182809,-1.0504421283506804,1
WDAY,2024-01-15,283.3816102294922,1058,300000.0,5,275.84,2.66,293.44,303.5,313.57,0.399,7979.02,2024-01-24,295.35225,PROFIT_TARGET_1,11870.197819499997,3.952779826673326,1.487675482696514,9
CRM,2024-01-11,268.2562840118408,1118,300000.0,5,260.96,2.72,277.98,287.71,297.43,0.408,8157.25,2024-01-29,284.2622472381592,PROFIT_TARGET_1,17187.387219849683,5.723405667615612,2.1070086914354698,18
BK,2024-01-12,51.94120649528503,5775,300000.0,5,50.87,2.07,53.37,54.8,56.23,0.309,6186.22,2024-01-30,53.42573119926453,PROFIT_TARGET_1,7925.064078076917,2.6390489770485903,1.281083968502372,18
AMD,2024-01-25,180.4201668319702,1662,300000.0,5,171.4,5.0,196.17,211.91,227.66,0.75,14991.52,2024-01-31,171.4,STOP_LOSS,-15718.06680000003,-5.234121478521488,-1.0484640421613662,6
DDOG,2024-01-17,126.09301377868651,2379,300000.0,5,120.71,4.27,133.28,140.46,147.64,0.64,12806.19,2024-02-02,134.24284255981445,PROFIT_TARGET_1,18744.358727348736,6.241877698084827,1.4636952169302906,16
DECK,2024-01-22,128.0139719467163,2343,300000.0,5,123.77,3.31,133.67,139.33,144.99,0.497,9943.63,2024-02-02,146.93648950958251,PROFIT_TARGET_1,43627.92272603087,14.528112795881077,4.387526394931319,11
