symbol,entry_date,exit_date,pnl_pct
MPC,2018-03-22,2018-04-30,2.6586167579721565
NRG,2018-03-15,2018-05-01,-0.295066502654877
BR,2018-03-29,2018-05-01,-1.5315895000927018
LW,2018-04-02,2018-05-01,11.88221801655374
TPR,2018-04-05,2018-05-01,-12.111121710072881
TDG,2018-04-19,2018-05-01,-4.470311369589403
MOH,2018-03-28,2018-05-02,4.792010483014299
MOS,2018-04-25,2018-05-09,-4.444428119552555
PTC,2018-04-19,2018-05-23,0.5181376011465294
COP,2018-03-26,2018-05-24,16.338021487258555
HES,2018-04-19,2018-05-24,7.216500430476571
BKR,2018-04-30,2018-05-24,-0.7202918990637951
MA,2018-05-01,2018-05-24,6.4687956020150335
PSX,2018-04-19,2018-05-25,5.173391305705531
OXY,2018-04-24,2018-05-25,6.542513137675873
OKE,2018-05-02,2018-05-25,5.306061511469577
ENPH,2018-05-23,2018-06-04,2.477873701283384
VLO,2018-04-23,2018-06-12,8.768339571911921
VST,2018-05-02,2018-06-14,4.436691396438758
TXT,2018-04-19,2018-06-15,2.9778705978648166
AXON,2018-05-09,2018-06-15,17.905534209531083
FFIV,2018-05-01,2018-06-19,9.030178710472466
EXPD,2018-05-25,2018-06-19,1.7181630173537261
RL,2018-05-24,2018-06-21,0.21510420832213614
CMG,2018-04-27,2018-06-25,6.275884469613918
AKAM,2018-05-01,2018-06-25,9.613220694572187
MU,2018-05-24,2018-06-25,-13.546925398354528
ALGN,2018-05-24,2018-06-25,9.229112559748428
LOW,2018-05-24,2018-06-25,0.3730630946656932
DECK,2018-05-25,2018-06-25,8.123716884204637
ODFL,2018-05-25,2018-06-25,-0.5062694610118563
AMD,2018-06-04,2018-06-25,1.7508368251084654
PODD,2018-06-12,2018-06-25,-8.55341686741912
IDXX,2018-06-15,2018-06-25,-4.567787925456763
DXCM,2018-04-02,2018-06-27,23.896414665635355
WSM,2018-06-19,2018-06-28,-3.1284546624573424
WBD,2018-06-15,2018-07-05,1.729846566193316
DPZ,2018-06-19,2018-07-05,-3.357839446432867
CSGP,2018-06-25,2018-07-05,3.5194828000597
AES,2018-06-27,2018-07-09,-4.607230490170133
FE,2018-06-25,2018-07-10,-2.237585324423541
HES,2018-06-27,2018-07-16,-2.577388572583089
NFLX,2018-06-14,2018-07-17,-3.4082480966420796
ENPH,2018-06-25,2018-07-18,-4.154727235824871
NKE,2018-06-29,2018-07-19,-3.426211512189955
LW,2018-06-25,2018-07-23,1.2765973765642478
LULU,2018-03-28,2018-07-24,43.06654800691829
NTAP,2018-06-21,2018-07-25,5.265043981749875
TPL,2018-05-01,2018-07-26,26.950801006484966
EPAM,2018-07-23,2018-07-27,-4.302253746813258
CNC,2018-07-05,2018-07-30,1.1016454849976798
MSI,2018-07-06,2018-07-30,1.7481800413482236
CSGP,2018-07-06,2018-07-30,-1.8560614715320551
KDP,2018-07-10,2018-07-30,8.11173961801559
AMZN,2018-07-16,2018-07-30,-2.374222090494957
IDXX,2018-07-17,2018-07-30,-0.8465736002897126
AXON,2018-07-18,2018-07-30,-7.169817839283052
GDDY,2018-07-24,2018-07-30,-6.489041061781364
VRSN,2018-07-27,2018-07-30,-3.214427870879134
TKO,2018-04-25,2018-08-01,96.68917554668985
OKE,2018-06-27,2018-08-01,-2.336904871735688
KKR,2018-06-27,2018-08-03,9.178478447580602
TDG,2018-06-29,2018-08-07,3.349366723447875
STE,2018-07-31,2018-08-08,-0.9434522077287651
IQV,2018-07-25,2018-08-14,-3.2258072376541205
PSX,2018-07-31,2018-08-14,-1.9458188576945985
COP,2018-07-03,2018-08-15,-2.1010578625631724
VLO,2018-07-30,2018-08-15,-4.231092407049137
WAB,2018-08-02,2018-08-17,-1.7520026981749184
CMG,2018-08-15,2018-08-29,-7.271483082386856
GWW,2018-07-19,2018-08-30,4.198529637583069
MOH,2018-08-01,2018-09-05,12.743966684435634
CSX,2018-08-14,2018-09-05,1.111400627057479
LLY,2018-08-01,2018-09-06,7.347871093582911
ZBRA,2018-08-29,2018-09-06,-2.2765842458066237
HUM,2018-07-06,2018-09-10,6.368540386165428
TJX,2018-09-05,2018-09-14,-2.1236097052334624
DXCM,2018-08-02,2018-09-17,10.618325427170214
ORLY,2018-08-15,2018-09-18,4.843731760703067
AAPL,2018-08-01,2018-09-19,8.75225118768833
BR,2018-08-17,2018-09-19,-0.0759271860156714
AXON,2018-09-06,2018-09-19,-4.154215579616351
FTNT,2018-08-02,2018-09-20,16.20119554506347
PODD,2018-09-06,2018-09-21,-2.4532260809637796
PAYC,2018-08-01,2018-09-24,23.050653767897636
UAL,2018-08-07,2018-09-24,6.705535305551599
ULTA,2018-09-05,2018-09-25,0.9202338219535202
QCOM,2018-09-18,2018-09-27,-4.028370489239095
AMD,2018-07-26,2018-09-28,68.33786783373533
LOW,2018-09-10,2018-10-02,0.17791923622274602
MOH,2018-09-24,2018-10-02,-3.4787184225600862
TECH,2018-08-03,2018-10-04,16.4328154308153
WST,2018-08-14,2018-10-04,1.99573327043732
TTWO,2018-08-30,2018-10-04,-2.049906802842822
GLW,2018-09-20,2018-10-04,-1.1901364785332469
RVTY,2018-09-21,2018-10-04,-3.2605269061842717
LULU,2018-09-17,2018-10-05,-0.9911240163001336
TKO,2018-09-19,2018-10-05,3.7836721467985606
EW,2018-09-25,2018-10-05,-9.896056244429206
HPQ,2018-10-04,2018-10-05,-4.087808826555184
BSX,2018-09-24,2018-10-08,-2.864589179969264
FTNT,2018-09-27,2018-10-08,-8.783781466394878
CRL,2018-09-28,2018-10-08,-4.630590187625047
J,2018-10-04,2018-10-08,-1.0018150132895773
CF,2018-08-02,2018-10-10,2.3304608199396353
MTCH,2018-08-08,2018-10-10,10.570179048818808
HES,2018-09-19,2018-10-10,-3.2123395478870886
APA,2018-09-19,2018-10-10,-0.8546941136514928
HCA,2018-07-26,2018-10-11,6.824336002388841
WBD,2018-09-14,2018-10-11,-3.6047229223473214
EOG,2018-10-02,2018-10-11,-6.446160641773509
CI,2018-10-05,2018-10-11,-4.505826890878114
HSIC,2018-10-05,2018-10-11,-5.540482706834565
PFE,2018-10-05,2018-10-11,-4.67602971644957
ELV,2018-10-09,2018-10-11,-3.8183222933895014
MRK,2018-10-09,2018-10-11,-5.487959745138335
KMI,2018-10-09,2018-10-11,-6.192794463718903
AZO,2018-10-08,2018-10-16,-1.897340608185664
MOS,2018-10-04,2018-10-23,-7.015991018587571
CNC,2018-10-16,2018-10-23,-8.254821140558487
IQV,2018-10-22,2018-10-23,-3.1395758696092098
LLY,2018-10-04,2018-10-24,-5.90315758118695
ELV,2018-10-17,2018-10-24,-5.0611723812410165
MRK,2018-10-22,2018-10-25,-3.596521555570741
AES,2018-10-02,2018-10-29,0.623728291997591
AEE,2018-10-10,2018-10-31,-2.062482361411692
CLX,2018-10-19,2018-10-31,-2.0726805930665435
K,2018-10-24,2018-10-31,-8.35553767091803
VICI,2018-10-25,2018-11-14,-2.456786103020078
DECK,2018-10-29,2018-11-15,4.845599217485776
WMT,2018-10-30,2018-11-15,-2.8119523404559708
ROST,2018-10-31,2018-11-15,-2.545463652350883
KDP,2018-10-16,2018-11-20,10.129752330732162
WBA,2018-10-18,2018-11-20,4.754412777818131
TSCO,2018-10-29,2018-11-20,-6.5666348189035855
CMCSA,2018-10-31,2018-11-20,-3.618290747115955
MKC,2018-10-04,2018-11-21,6.842220372538666
JNJ,2018-11-20,2018-11-21,-3.0454278604694354
PG,2018-10-19,2018-11-23,4.856796929550809
LW,2018-10-05,2018-11-27,4.069602345469654
BALL,2018-11-15,2018-11-27,-3.4140533702632037
VZ,2018-10-30,2018-12-03,-0.034359771765448834
CPB,2018-11-20,2018-12-06,-5.7459827769781935
UAL,2018-11-23,2018-12-06,-1.9084749351372727
COO,2018-11-26,2018-12-07,-10.828558398343173
DOC,2018-10-24,2018-12-14,9.462181820359904
WBA,2018-11-27,2018-12-14,-5.723207296778386
VTR,2018-10-19,2018-12-17,8.812995563354066
CHD,2018-10-19,2018-12-17,8.881975003097747
WELL,2018-10-24,2018-12-17,8.86420348519496
HRL,2018-10-30,2018-12-17,-0.4382389176049999
MRK,2018-10-31,2018-12-17,2.9171854160739885
AEE,2018-11-15,2018-12-17,-2.341529438903658
CLX,2018-11-26,2018-12-17,-4.0347552028607065
MSI,2018-11-28,2018-12-17,-6.275706882481276
AMT,2018-12-06,2018-12-17,-3.99094968324323
CMS,2018-12-14,2018-12-17,-2.817173793604523
ES,2018-11-20,2018-12-18,-0.13465031198890742
WDAY,2018-12-03,2018-12-18,-7.205003646013923
AWK,2018-12-07,2018-12-18,-5.235169207890182
AZO,2018-11-14,2018-12-19,1.5267833730831621
DUK,2018-11-20,2018-12-19,-1.4573067082844398
AEP,2018-12-14,2018-12-19,-3.9370012059435555
O,2018-10-24,2018-12-20,8.103076141903218
DELL,2018-11-15,2018-12-20,-1.5705136195729905
NRG,2018-12-06,2018-12-20,-5.769220163666283
CHD,2019-01-17,2019-01-24,-4.585242801420986
KDP,2019-01-09,2019-01-28,-0.6422662567520223
DXCM,2019-01-07,2019-01-29,7.772224963990079
MCD,2019-01-24,2019-01-30,-2.9887525879049472
MOH,2019-01-16,2019-01-31,-2.1990185087302896
DOC,2019-01-17,2019-02-12,1.945661521728926
WELL,2019-01-17,2019-02-20,4.180977550669021
O,2019-01-28,2019-02-20,4.623237317743377
MTCH,2019-01-09,2019-02-26,22.97267592112351
AVGO,2019-01-15,2019-02-27,5.848167381942007
HCA,2019-01-16,2019-02-27,4.912717684909936
SBUX,2019-01-22,2019-02-28,8.008367270686831
PG,2019-01-23,2019-03-01,3.7958544147560827
AMD,2019-01-09,2019-03-04,15.750372565922321
WDAY,2019-01-18,2019-03-04,4.149232516081892
PAYC,2019-01-18,2019-03-04,30.22606927564453
TDG,2019-02-20,2019-03-05,-1.650659223819463
DECK,2019-03-01,2019-03-07,-3.9967563077941333
BALL,2019-01-15,2019-03-08,11.783538980375535
NOW,2019-01-31,2019-03-08,6.331239162476835
BA,2019-02-27,2019-03-08,-2.962515466323514
A,2019-03-04,2019-03-08,-2.683129856823372
WTW,2019-03-05,2019-03-08,-7.042410345361515
LLY,2019-01-07,2019-03-11,7.711118022312712
ERIE,2019-01-16,2019-03-12,25.246595842586235
KEYS,2019-01-29,2019-03-25,18.32518768150425
ZBRA,2019-03-11,2019-03-25,-2.1389332980731086
ENPH,2019-01-30,2019-03-26,21.648047817977133
DAY,2019-02-12,2019-03-27,9.436869779860244
HOLX,2019-03-04,2019-03-27,-1.0754920734416937
AWK,2019-03-12,2019-03-28,-0.5718921402404232
PNW,2019-03-12,2019-04-01,-0.06321195814623716
AES,2019-01-17,2019-04-04,17.18958014599926
SO,2019-03-27,2019-04-04,-1.972043915828339
BALL,2019-03-12,2019-04-08,2.772383084039671
O,2019-03-11,2019-04-09,0.9592599004498902
