symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl_pct,pnl_dollar
HD,2022-12-13,2022-12-20,312.20050048828125,295.27227783203125,21,-5.422227904751683,-355.49267578125
JPM,2023-01-04,2023-01-19,127.27823638916016,126.68595123291016,52,-0.46534676552168414,-30.798828125
TT,2023-01-09,2023-01-19,173.07354736328125,162.35360717773438,38,-6.19386402420338,-407.35772705078125
XOM,2023-01-06,2023-01-24,101.50409698486328,104.51626586914062,65,2.96753429048931,195.79097747802734
NKE,2023-01-11,2023-01-24,122.73626708984375,121.67140197753906,54,-0.8676042848241419,-57.502716064453125
HCA,2022-12-13,2023-01-27,238.02589416503906,249.45228576660156,28,4.800482586839829,319.93896484375
SBUX,2023-01-06,2023-02-03,100.58338928222656,98.33018493652344,65,-2.24013563450409,-146.45828247070312
ORCL,2023-01-06,2023-02-07,82.6810531616211,85.00627899169922,80,2.812283759294746,186.01806640625
NFLX,2023-01-12,2023-02-10,330.1300048828125,347.3599853515625,20,5.219150096600941,344.599609375
AVGO,2023-01-09,2023-02-21,55.35739517211914,55.80360794067383,120,0.8060581014827508,53.5455322265625
NVDA,2023-02-07,2023-02-21,22.153308868408203,20.636655807495117,300,-6.846169436457927,-454.9959182739258
XOM,2023-01-26,2023-02-22,108.14370727539062,101.54486083984375,61,-6.1019236364282845,-402.5296325683594
JPM,2023-02-07,2023-02-22,135.05332946777344,130.2679443359375,49,-3.5433299946728307,-234.48387145996094
TT,2023-02-02,2023-02-24,180.4307098388672,176.59173583984375,37,-2.1276721698051375,-142.0420379638672
ORCL,2023-03-06,2023-03-10,86.9439697265625,81.45062255859375,75,-6.3182612724554055,-412.00103759765625
NVDA,2023-02-23,2023-03-13,23.642982482910156,22.949499130249023,278,-2.933146666933425,-192.78837203979492
TT,2023-03-03,2023-03-15,189.41802978515625,174.26344299316406,34,-8.000604171197951,-515.2559509277344
DASH,2023-03-31,2023-04-06,63.560001373291016,60.68000030517578,103,-4.531153250297851,-296.64011001586914
AVGO,2023-03-03,2023-04-10,60.718597412109375,60.6366081237793,108,-0.13503159134852916,-8.854843139648438
CRM,2023-03-29,2023-04-11,194.931884765625,187.2492218017578,33,-3.9412038585192897,-253.5278778076172
NVDA,2023-03-16,2023-04-13,25.522647857666016,26.443986892700195,255,3.6098881282705357,234.94145393371582
EQIX,2023-03-31,2023-04-14,688.9290771484375,658.01025390625,9,-4.487954459719472,-278.2694091796875
NFLX,2023-03-24,2023-04-17,328.3900146484375,332.7200012207031,19,1.3185500103896741,82.26974487304688
CSCO,2023-03-30,2023-04-17,47.775577545166016,47.05813217163086,137,-1.5016990068971927,-98.2900161743164
XOM,2023-04-03,2023-04-20,107.46745300292969,107.01400756835938,61,-0.42193745352646544,-27.660171508789062
PM,2023-04-18,2023-04-20,91.1226577758789,86.9680404663086,72,-4.559368011179852,-299.1324462890625
MSFT,2023-03-31,2023-04-24,283.2663879394531,276.8504638671875,23,-2.2649789545934405,-147.56625366210938
META,2023-03-15,2023-04-25,196.6710662841797,206.41758728027344,33,4.955747268899495,321.63519287109375
CTAS,2023-03-29,2023-04-25,114.82447052001953,110.3489990234375,56,-3.8976635174657632,-250.62640380859375
ORCL,2023-03-28,2023-04-26,87.050537109375,91.17046356201172,75,4.7327984288715195,308.9944839477539
V,2023-04-03,2023-04-26,225.16055297851562,224.32481384277344,29,-0.37117475716180715,-24.236434936523438
ABBV,2023-04-03,2023-04-27,146.14002990722656,136.8657989501953,45,-6.3461263576576314,-417.34039306640625
MA,2023-04-12,2023-04-27,357.08184814453125,368.81744384765625,18,3.2865282186998592,211.24072265625
NKE,2023-04-13,2023-04-27,121.63350677490234,120.93120574951172,53,-0.5773910857394902,-37.221954345703125
SBUX,2023-04-11,2023-05-03,100.18727111816406,98.50074768066406,65,-1.6833709698618904,-109.6240234375
EQIX,2023-04-28,2023-05-03,691.8338623046875,666.561767578125,9,-3.6529138140729702,-227.4488525390625
JPM,2023-04-14,2023-05-04,131.4513702392578,127.08324432373047,50,-3.3229976283828857,-218.4062957763672
NKE,2023-05-01,2023-05-04,123.06697845458984,118.97820281982422,53,-3.322398653245827,-216.70510864257812
TT,2023-04-28,2023-05-08,181.3186492919922,172.47767639160156,36,-4.875931369946004,-318.2750244140625
HCA,2023-03-22,2023-05-09,249.67579650878906,268.9820251464844,26,7.7325190938224155,501.9619445800781
PG,2023-04-03,2023-05-09,140.44979858398438,145.29930114746094,47,3.4528369654988995,227.92662048339844
SO,2023-05-10,2023-05-16,69.6541748046875,65.88987731933594,93,-5.404266859677501,-350.0796661376953
EQIX,2023-05-04,2023-05-23,696.8595581054688,668.9169921875,9,-4.0097844096356186,-251.48309326171875
MA,2023-05-05,2023-05-23,379.66473388671875,368.8963623046875,17,-2.8362843901230574,-183.06231689453125
LLY,2023-05-08,2023-05-23,425.4854431152344,417.2168273925781,15,-1.943336924082937,-124.02923583984375
WELL,2023-04-10,2023-05-24,68.95646667480469,70.83655548095703,95,2.7264865745206324,178.60843658447266
FI,2023-04-14,2023-05-24,115.58999633789062,116.47000122070312,57,0.7613157805110446,50.1602783203125
DASH,2023-05-05,2023-05-31,62.900001525878906,65.29000091552734,102,3.799680972448183,243.77993774414062
CRM,2023-04-18,2023-06-07,196.77574157714844,203.9429473876953,33,3.6423218396241595,236.51779174804688
GOOGL,2023-05-09,2023-06-21,106.71002960205078,119.83133697509766,61,12.296226907610853,800.3997497558594
GOOG,2023-05-09,2023-06-21,107.30217742919922,120.5434799194336,60,12.34019924616286,794.4781494140625
WELL,2023-06-09,2023-06-22,77.3924789428711,74.87318420410156,89,-3.2552190770749214,-224.21723175048828
TSLA,2023-06-07,2023-06-26,224.57000732421875,241.0500030517578,31,7.338466932383529,510.87986755371094
NFLX,2023-05-12,2023-06-27,339.8900146484375,417.0799865722656,19,22.71027938366149,1466.6094665527344
ORCL,2023-05-05,2023-06-29,94.34211730957031,114.58817291259766,68,21.46025145544781,1376.7317810058594
MSFT,2023-04-26,2023-07-10,290.2130432128906,326.7491760253906,22,12.589417900731053,803.794921875
AMZN,2023-05-11,2023-07-10,112.18000030517578,127.12999725341797,58,13.3267934636941,867.0998229980469
LLY,2023-06-15,2023-07-11,447.5018310546875,433.167724609375,16,-3.2031391718620217,-229.345703125
HCA,2023-06-23,2023-07-17,290.5505676269531,287.0687255859375,24,-1.1983600890727117,-83.564208984375
TSLA,2023-07-03,2023-07-20,279.82000732421875,262.8999938964844,25,-6.046748976076496,-423.0003356933594
